score	sentence	voicevox_says	kuromoji_expects
9	ゴールデンウィークともなると、人気テーマパークは入場制限が出るほど混雑する。	ごおるでんうぃいくともなるとにんきてえまぱあくわにゅうじょおせえげんがでるほどこんざつする	ごるでんうぃくともなるとにんきてまぱくわにゅうじょおせえげんがでるほどこんざつする
9	見る：見ます/見て/見られる/見させる	みるみますみてみられるみさせる	みる：みます/みて/みられる/みさせる
9	最新の調査によると、若い世代の半数以上がスマートフォンを一日五時間以上使用していることが分かりました。特にSNSの利用時間が増えています。	さいしんのちょおさによるとわかいせだいのわんすういじょおがすまあとふぉんおいちにちごじかんいじょおしよおしてえることがわかりましたとくにえすえぬえすのりよおじかんがふえてえます	さいしんのちょおさによるとわかいせだいのわんすういじょおがすまとふぉんおいちにちごじかんいじょおしよおしてえることがわかりましたとくにSNSのりよおじかんがふえてえます
9	来月から、この図書館の開館時間が変わります。平日は午前九時から午後九時まで、土日は午前十時から午後六時までです。月曜日は休館日です。	らいげつからこのとしょかんのかいかんじかんがかわりますえじつわごぜんくじからごごくじまでどにちわごぜんじゅうじからごごろくじまでですげつよおびわきゅうかんびです	らいげつからこのとしょかんのかいかんじかんがかわりますえじつわごぜんきゅうじからごごきゅうじまでどにちわごぜんじゅうじからごごろくじまでですげつよおびわきゅうかんびです
9	量子コンピュータの研究開発が世界各国で加速しています。従来のコンピュータが零と一の二進法で計算するのに対し、量子コンピュータは量子ビットを用いることで、膨大な計算を同時に処理できる可能性を秘めています。医薬品開発や気候シミュレーションなど、応用分野は多岐にわたりますが、実用化にはまだ技術的な課題が残されています。	りょおしこんぴゅうたのけんきゅうかいわつがせかいかっこくでかそくしてえますじゅうらいのこんぴゅうたがれえといちのにしんほおでけえさんするのにたいしりょおしこんぴゅうたわりょおしびっとおもちいることでぼおだいなけえさんおどおじにしょりできるかのおせえおひめてえますいやくひんかいわつやきこおしみゅれえしょんなどおよおぶんやわたきにわたりますがじつよおかにわまだぎじゅつてきなかだいがのこされてえます	りょおしこんぴゅたのけんきゅうかいわつがせかいかっこくでかそくしてえますじゅうらいのこんぴゅたがれえといちのにしんほおでけえさんするのにたいしりょおしこんぴゅたわりょおしびっとおもちいることでぼおだいなけえさんおどおじにしょりできるかのおせえおひめてえますいやくひんかいわつやきこおしみゅれしょんなどおよおぶんやわたきにわたりますがじつよおかにわまだぎじゅつてきなかだいがのこされてえます
7	10月になると、涼しくなります。	じゅうがつになるとすずしくなります	つきになるとすずしくなります
7	10年ぶりに高校のクラスメイトと再会した。	じゅうねんぶりにこおこおのくらすめえととさいかいした	ねんぶりにこおこおのくらすめえととさいかいした
7	10年修行しただけのことはある。料理の腕が抜群だ。	じゅうねんしゅぎょおしただけのことわあるりょおりのおでがばつぐんだ	ねんしゅぎょおしただけのことわあるりょおりのおでがばつぐんだ
7	10分しか残っていません。	じゅっぷんしかのこってえません	ふんしかのこってえません
7	1か月に2回映画館へ行きます。	いっかげつににかいえがかんえきます	かげつにかいえがかんえきます
7	3月から4月にかけて、全国で桜が咲く。	さんがつからしがつにかけてぜんこくでさくらがさく	つきからつきにかけてぜんこくでさくらがさく
7	5分の遅刻ならまだしも、1時間遅れるのはありえない。	ごふんのちこくならまだしもいちじかんおくれるのわありえない	ぶんのちこくならまだしもじかんおくれるのわありえない
7	A：あした えいがを みに いきませんか。。B：いいですね。なんじに あいますか。。A：ろくじに えきで あいましょう。	えあしたえがおみにいきませんかびいですねなんじにあいますかえろくじにえきであいましょお	A：あしたえがおみにいきませんかB：いですねなんじにあいますかA：ろくじにえきであいましょお
7	A：このプロジェクト、当初の見込みより大幅にコストが超過していますね。。B：はい。原材料の高騰と、仕様変更の度重なる発生が主な原因です。。A：今後の対策として、仕様変更のプロセスを厳格化する必要がありますね。承認フローを見直しましょう。。B：それに加えて、調達先の多様化も検討したいのですが。。A：いいですね。次回の定例会議でまとめて提案しましょう。	えこのぷろじぇくととおしょのみこみよりおわばにこすとがちょおかしてえますねびいわいげんざいりょおのこおとおとしよおえんこおのたびかさなるわっせえがおもなげんいんですえこんごのたいさくとしてしよおえんこおのぷろせすおげんかくかするひつよおがありますねしょおにんふろおみなおしましょおびいそれにくわえてちょおたつさきのたよおかもけんとおしたいのですがえいですねじかいのてえれえかいぎでまとめててえあんしましょお	A：このぷろじぇくととおしょのみこみよりおわばにこすとがちょおかしてえますねB：わいげんざいりょおのこおとおとしよおえんこおのたびかさなるわっせえがおもなげんいんですA：こんごのたいさくとしてしよおえんこおのぷろせすおげんかくかするひつよおがありますねしょおにんふろおみなおしましょおB：それにくわえてちょおたつさきのたよおかもけんとおしたいのですがA：いですねじかいのてえれえかいぎでまとめててえあんしましょお
7	A：夏休みはどこに行きますか。。B：両親と韓国に行く予定です。。A：いいですね。何日間ですか。。B：五日間です。	えなつやすみわどこにいきますかびいりょおしんとかんこくにいくよてえですえいですねなんにちかんですかびいつかかんです	A：なつやすみわどこにいきますかB：りょおしんとかんこくにいくよてえですA：いですねなんにちかんですかB：ごにちかんです
7	A：今回の情報漏洩の件、初動対応の遅れが致命的だった。原因究明と再発防止策の徹底が急務だ。。B：おっしゃる通りです。第三者委員会を立ち上げて、徹底的に調査することが信頼回復への第一歩かと。。A：それに加えて、影響を受けたお客様への補償と説明責任を果たさなければならない。広報部とも連携して、対応を急ぐように。。B：承知しました。一週間以内に基本方針を取りまとめてご報告します。	えこんかいのじょおほおろおえのけんしょどおたいおのおくれがちめえてきだったげんいんきゅうめえとさいわつぼおしさくのてってえがきゅうむだびいおっしゃるとおりですだいさんしゃいんかいおたちあげててってえてきにちょおさすることがしんらいかいふくえのだいっぽかとえそれにくわえてえきょおけたおきゃくさまえのほしょおとせつめえせきにんおわたさなければならないこおほおぶともれんけえしてたいおいそぐよおにびいしょおちしましたいっしゅうかんいないにきほんほおしんおとりまとめてごほおこくします	A：こんかいのじょおほおろおせつのけんしょどおたいおのおくれがちめえてきだったげんいんきゅうめえとさいわつぼおしさくのてってえがきゅうむだB：おっしゃるとおりですだいさんしゃいんかいおたちあげててってえてきにちょおさすることがしんらいかいふくえのだいっぽかとA：それにくわえてえきょおけたおきゃくさまえのほしょおとせつめえせきにんおわたさなければならないこおほおぶともれんけえしてたいおいそぐよおにB：しょおちしましたいちしゅうかんいないにきほんほおしんおとりまとめてごほおこくします
7	A：今度の社員旅行、どこがいいと思いますか。。B：沖縄はどうですか。去年は北海道だったから、今年は暖かいところがいいかなと。。A：沖縄か。予算的に厳しくないですか。。B：格安航空を使えば、かなり抑えられると思いますよ。。A：なるほど。じゃ、見積もりを出してもらえますか。	えこんどのしゃいんりょこおどこがいとおもいますかびいおきなわわどおですかきょねんわほっかいどおだったからことしわあたたかいところがいかなとえおきなわかよさんてきにきびしくないですかびいかくやすこおくうおつかえばかなりおさえられるとおもいますよえなるほどじゃみつもりおだしてもらえますか	A：こんどのしゃいんりょこおどこがいとおもいますかB：おきなわわどおですかきょねんわほっかいどおだったからことしわあたたかいところがいかなとA：おきなわかよさんてきにきびしくないですかB：かくやすこおくうおつかえばかなりおさえられるとおもいますよA：なるほどじゃみつもりおだしてもらえますか
7	A：仕事の調子はどうですか。。B：忙しいですが、楽しいです。新しいプロジェクトを担当することになりました。。A：それは大変ですね。頑張ってください。	えしごとのちょおしわどおですかびいそがしいですがたのしいですあたらしいぷろじぇくとおたんとおすることになりましたえそれわたいえんですねがんばってください	A：しごとのちょおしわどおですかB：いそがしいですがたのしいですあたらしいぷろじぇくとおたんとおすることになりましたA：それわたいえんですねがんばってください
7	A：先生、最近よく頭が痛いんです。。B：いつからですか。。A：二週間ぐらい前からです。仕事が忙しくて、あまり寝ていません。。B：それは睡眠不足のせいかもしれませんね。まずは規則正しい生活を心がけてください。	えせんせえさいきんよくあたまがいたいんですびいつからですかえにしゅうかんぐらいまえからですしごとがいそがしくてあまりねてえませんびいそれわすいみんふそくのせえかもしれませんねまずわきそくただしいせえかつおこころがけてください	A：せんせえさいきんよくあたまがいたいんですB：いつからですかA：にしゅうかんぐらいまえからですしごとがいそがしくてあまりねてえませんB：それわすいみんふそくのせえかもしれませんねまずわきそくただしいせえかつおこころがけてください
7	A：田中さん、明日のプレゼン資料、最終確認お願いできますか。。B：はい。何時までに必要ですか。。A：明日の朝九時からプレゼンなので、今日の五時までにいただけると助かります。。B：わかりました。四時には送ります。	えたなかさんあしたのぷれぜんしりょおさいしゅうかくにんおねがいできますかびいわいなんじまでにひつよおですかえあしたのあさくじからぷれぜんなのできょおのごじまでにいただけるとたすかりますびいわかりましたよじにわおくります	A：たなかさんあしたのぷれぜんしりょおさいしゅうかくにんおねがいできますかB：わいつまでにひつよおですかA：あしたのあさきゅうじからぷれぜんなのできょおのごじまでにいただけるとたすかりますB：わかりましたよんじにわおくります
7	IT業界は技術の進歩が目まぐるしく、常に学び続ける必要がある。	あいてぃいぎょおかいわぎじゅつのしんぽがめまぐるしくつねにまなびつずけるひつよおがある	ITぎょおかいわぎじゅつのしんぽがめまぐるしくつねにまなびつずけるひつよおがある
7	SNSを通じて、昔の友人と再会した。	えすえぬえすおつうじてむかしのゆうじんとさいかいした	SNSおつうじてむかしのゆうじんとさいかいした
7	あの店のラーメンは、若い人の間でとても人気がある。	あのみせのらあめんわわかいひとのあいだでとてもにんきがある	あのみせのらめんわわかいひとのまでとてもにんきがある
7	この店のラーメンは、他では味わえない独特なスープが自慢です。	このみせのらあめんわほかでわあじわえないどくとくなすうぷがじまんです	このみせのらめんわたでわあじわえないどくとくなすぷがじまんです
7	シャワーを浴びている間に、電話が鳴っていた。	しゃわあおあびてえるあいだにでんわがなってえた	しゃわおあびてえるまにでんわがなってえた
7	その広告は「業界No.1の実績」を謳っているが、根拠は極めて曖昧だ。	そのこおこくわぎょおかいなんばあいちのじっせきおたってえるがこんきょわきわめてあいまいだ	そのこおこくわぎょおかいNo.のじっせきおたってえるがこんきょわきわめてあいまいだ
7	その僧侶は厳しい戒律を守り、俗世との関わりを断っている。	そのそおりょわきびしいかいりつおまもりぞくせとのかかわりおたってえる	そのそおりょわきびしいかいりつおまもりぞくせえとのかかわりおことわってえる
7	ペースメーカーなどに影響するかもしれないからです。	ぺえすめえかあなどにえきょおするかもしれないからです	ぺすめかなどにえきょおするかもしれないからです
7	リーダーはメンバーに役割を分担させた。	りいだあわめんばあにやくわりおぶんたんさせた	りだわめんばにやくわりおぶんたんさせた
7	リーダーを中心に、チームが結束した。	りいだあおちゅうしんにちいむがけっそくした	りだおちゅうしんにちむがけっそくした
7	歌います→歌う／歌わない	うたいますうたうたわない	うたいます→うたう／うたわない
7	銀行のATMもあるので、いつでもお金をおろせます。	ぎんこおのえてぃいえむもあるのでえつでもおかねおろせます	ぎんこおのATMもあるのでえつでもおかねおろせます
7	軽微な暴行罪で有罪判決を受けた被告人に、二十日間の拘留が科された。	けえびなぼおこおざいでゆうざいわんけつおけたひこくにんにわつかかんのこおりゅうがかされた	けえびなぼおこおざいでゆうざいわんけつおけたひこくじんににじゅうにちかんのこおりゅうがかされた
7	幸せの形なんて十人十色で、他人と比べても意味がない。	しあわせのかたちなんてじゅうにんといろでたにんとくらべてもいみがない	しあわせのかたちなんてじゅうにんじゅうしょくでたにんとくらべてもいみがない
7	根拠のない噂がSNSを通じて瞬く間に流布し、収拾がつかなくなった。	こんきょのないうわさがえすえぬえすおつうじてまたたくまにるふししゅうしゅうがつかなくなった	こんきょのないうわさがSNSおつうじてまばたくまにるふししゅうしゅうがつかなくなった
7	根拠のない噂はSNS上で瞬く間に増幅し、社会不安を煽った。	こんきょのないうわさわえすえぬえすじょおでまたたくまにぞおふくししゃかいふあんおあおった	こんきょのないうわさわSNSじょおでまばたくまにぞおふくししゃかいふあんおあおった
7	三年間努力して、ようやく日本語能力試験のN1を取得しました。	さんねんかんどりょくしてよおやくにほんごのおりょくしけんのえぬいちおしゅとくしました	さんねんかんどりょくしてよおやくにほんごのおりょくしけんのNおしゅとくしました
7	仕事の内容は、注文を取ったり、コーヒーを作ったり、テーブルをかたづけたりすることです。	しごとのないよおわちゅうもんおとったりこおひいおつくったりてえぶるおかたずけたりすることです	しごとのないよおわちゅうもんおとったりこひおつくったりてぶるおかたずけたりすることです
7	新しいサービスに関して、ユーザーから多くの意見が寄せられた。	あたらしいさあびすにかんしてゆうざあからおくのいけんがよせられた	あたらしいさびすにかんしてゆざからおくのいけんがよせられた
7	新商品をもっと多くの人に宣伝するため、SNSを活用することにした。	しんしょおひんおもっとおくのひとにせんでんするためえすえぬえすおかつよおすることにした	しんしょおひんおもっとおくのひとにせんでんするためSNSおかつよおすることにした
7	先着100名様に限り、特典をプレゼントします。	せんちゃくひゃくめえさまにかぎりとくてんおぷれぜんとします	せんちゃくめえさまにかぎりとくてんおぷれぜんとします
7	大勢の来賓を前に表彰されるという、晴れがましい場に立たせていただいた。	おぜえのらいひんおまえにひょおしょおされるというわれがましいばにたたせてえただいた	たいせえのらいひんおまえにひょおしょおされるというわれがましいじょおにたたせてえただいた
7	大切だ/じゃない/だった/じゃなかった	たいせつだじゃないだったじゃなかった	たいせつだ/じゃない/だった/じゃなかった
7	締め切りが刻々と迫る中、チーム全員が寝る間も惜しんで作業に当たった。	しめきりがこくこくとせまるなかちいむぜんいんがねるあいだもおしんでさぎょおにあたった	しめきりがこっこくとせまるなかちむぜんいんがねるまもおしんでさぎょおにあたった
7	買う/買わない/買った/買わなかった	かうかわないかったかわなかった	かう/かわない/かった/かわなかった
7	被災地の子どもたちの姿を目にして、彼女は惻然として言葉を失った。	ひさいちのこどもたちのすがたおめにしてかのじょわとしてことばおしなった	ひさいちのこどもたちのすがたおめにしてかのじょわ惻しかとしてことばおしなった
7	毎晩10時までに寝るようにしている。	まいばんじゅうじまでにねるよおにしてえる	まいばんじまでにねるよおにしてえる
7	焙煎したての豆を挽くと、香ばしいコーヒーの匂いが部屋中に広がった。	ばいせんしたてのまめおひくとこおばしいこおひいのにおいがえやじゅうにひろがった	あぶいしたてのまめおひくとこおばしいこひのにおいがえやちゅうにひろがった
5	「東京ラブストーリー」というドラマ。	とおきょおらぶすとおりいというどらま	とおきょおらぶすとりというどらま
5	～ことは～が	ことわが	～ことわ～が
5	～には～が	にわが	～にわ～が
5	100キロからある荷物を、彼は一人で運び切った。	ひゃっきろからあるにもつおかれわひとりでわこびきった	きろからあるにもつおかれわいちにんでわこびきった
5	1時間くらいかかります。	いちじかんくらいかかります	じかんくらいかかります
5	3年も住んでいれば、詳しいわけだ。	さんねんもすんでえればくわしいわけだ	ねんもすんでえればくわしいわけだ
5	A：このりんごは いくらですか。。B：ひとつ ひゃくえんです。。A：じゃ、みっつ ください。	えこのりんごわいくらですかびいひとつひゃくえんですえじゃみっつください	A：このりんごわいくらですかB：ひとつひゃくえんですA：じゃみっつください
5	A：すきな たべものは なんですか。。B：すしが すきです。。A：わたしも すしが すきです。	えすきなたべものわなんですかびいすしがすきですえわたしもすしがすきです	A：すきなたべものわなんですかB：すしがすきですA：わたしもすしがすきです
5	A：すみません、たこ焼きを二つと、お好み焼きを一つください。。B：はい。たこ焼きは一つ五百円で、お好み焼きは八百円です。。A：じゃ、全部でいくらですか。。B：千八百円です。	えすみませんたこやきおふたつとおこのみやきおひとつくださいびいわいたこやきわひとつごひゃくえんでおこのみやきわわっぴゃくえんですえじゃぜんぶでえくらですかびいせんわっぴゃくえんです	A：すみませんたこやきおふたつとおこのみやきおひとつくださいB：わいたこやきわひとつごひゃくえんでおこのみやきわわちひゃくえんですA：じゃぜんぶでえくらですかB：せんわちひゃくえんです
5	A：すみません、ペンを貸してくれませんか。。B：はい、どうぞ。。A：ありがとうございます。後で返します。	えすみませんぺんおかしてくれませんかびいわいどおぞえありがとおございますあとでかえします	A：すみませんぺんおかしてくれませんかB：わいどおぞA：ありがとおございますあとでかえします
5	A：すみません、大阪城への行き方を教えていただけませんか。。B：ここからまっすぐ行って、二つ目の信号を右に曲がってください。そのまま五分ほど歩くと、左手に見えてきますよ。。A：ありがとうございます。歩いてどのくらいかかりますか。。B：十五分ぐらいですね。	えすみませんおさかじょおえのいきかたおしえてえただけませんかびいここからまっすぐいってふたつめのしんごおみぎにまがってくださいそのままごふんほどあるくとひだりてにみえてきますよえありがとおございますあるいてどのくらいかかりますかびいじゅうごふんぐらいですね	A：すみませんおさかじょおえのいきかたおしえてえただけませんかB：ここからまっすぐいってふたつめのしんごおみぎにまがってくださいそのままごふんほどあるくとひだりてにみえてきますよA：ありがとおございますあるいてどのくらいかかりますかB：じゅうごふんぐらいですね
5	A：すみません、郵便局はどこですか。。B：あの白いビルの隣です。。A：ありがとうございます。	えすみませんゆうびんきょくわどこですかびいあのしろいびるのとなりですえありがとおございます	A：すみませんゆうびんきょくわどこですかB：あのしろいびるのとなりですA：ありがとおございます
5	A：たなかさんは どこですか。。B：いま、トイレに いきました。	えたなかさんわどこですかびいまといれにいきました	A：たなかさんわどこですかB：いまといれにいきました
5	A：今回の通商交渉、相手国の出方が読みにくいですね。。B：政治的な背景を考えると、強硬姿勢を取らざるを得ない事情もあるかと。。A：ただ、長引けば双方に経済的損失が出ます。譲歩点を探る必要があります。。B：水面下での協議を並行して進めるべきでしょう。	えこんかいのつうしょおこおしょおあいてこくのでかたがよみにくいですねびいせえじてきなわいけえおかんがえるときょおこおしせえおとらざるおえないじじょおもあるかとえただながびけばそおほおにけえざいてきそんしつがでますじょおほてんおさぐるひつよおがありますびいすいめんかでのきょおぎおえこおしてすすめるべきでしょお	A：こんかいのつうしょおこおしょおあいてこくのでかたがよみにくいですねB：せえじてきなわいけえおかんがえるときょおこおしせえおとらざるおえないじじょおもあるかとA：ただながびけばそおほおにけえざいてきそんしつがでますじょおほてんおさぐるひつよおがありますB：すいめんかでのきょおぎおえこおしてすすめるべきでしょお
5	A：今期の業績についてですが、第三四半期はようやく黒字に転じましたが、通期では依然として厳しい状況です。。B：構造改革の効果が出始めているとは言えますね。ただ、為替の影響を除いた実質的な収益力は、まだ十分とは言えない。。A：第四四半期に向けて、コスト削減と新規事業の立ち上げを並行して進める必要があります。。B：取締役会で具体的な戦略を諮りましょう。	えこんきのぎょおせきについてですがだいさんしわんきわよおやくくろじにてんじましたがつうきでわいぜんとしてきびしいじょおきょおですびいこおぞおかいかくのこおかがでわじめてえるとわいえますねただかわせのえきょおのぞいたじっしつてきなしゅうえきりょくわまだじゅうぶんとわいえないえだいよんしわんきにむけてこすとさくげんとしんきじぎょおのたちあげおえこおしてすすめるひつよおがありますびいとりしまりやくかいでぐたいてきなせんりゃくおわかりましょお	A：こんきのぎょおせきについてですがだいさんしわんきわよおやくくろじにてんじましたがつうきでわいぜんとしてきびしいじょおきょおですB：こおぞおかいかくのこおかがでわじめてえるとわいえますねただかわせのえきょおのぞいたじっしつてきなしゅうえきりょくわまだじゅうぶんとわいえないA：だいよんしわんきにむけてこすとさくげんとしんきじぎょおのたちあげおえこおしてすすめるひつよおがありますB：とりしまりやくかいでぐたいてきなせんりゃくおわかりましょお
5	A：今度の人事で部長に昇進されると聞きました。おめでとうございます。。B：ありがとうございます。責任が増えますが、頑張ります。。A：何かお手伝いできることがあれば、おっしゃってください。。B：心強いお言葉、ありがとうございます。	えこんどのじんじでぶちょおにしょおしんされるとききましたおめでとおございますびいありがとおございますせきにんがふえますががんばりますえなにかおてつだいできることがあればおっしゃってくださいびいこころずよいおことばありがとおございます	A：こんどのじんじでぶちょおにしょおしんされるとききましたおめでとおございますB：ありがとおございますせきにんがふえますががんばりますA：なにかおてつだいできることがあればおっしゃってくださいB：こころずよいおことばありがとおございます
5	A：今日は何時に帰りますか。。B：会議が長引きそうなので、八時ぐらいになりそうです。。A：それは大変ですね。お疲れさまです。	えきょおわなんじにかえりますかびいかいぎがながびきそおなのでわちじぐらいになりそおですえそれわたいえんですねおつかれさまです	A：きょおわなんじにかえりますかB：かいぎがながびきそおなのでわちじぐらいになりそおですA：それわたいえんですねおつかれさまです
5	A：新人の田中さん、なかなか優秀ですね。。B：そうですね。質問が的確で、覚えるのも早いです。。A：将来が楽しみですね。次のプロジェクトでも活躍してもらいましょう。	えしんじんのたなかさんなかなかゆうしゅうですねびいそおですねしつもんがてきかくでおぼえるのもわやいですえしょおらいがたのしみですねつぎのぷろじぇくとでもかつやくしてもらいましょお	A：しんじんのたなかさんなかなかゆうしゅうですねB：そおですねしつもんがてきかくでおぼえるのもわやいですA：しょおらいがたのしみですねつぎのぷろじぇくとでもかつやくしてもらいましょお
5	A：申し訳ありませんが、明日の会議を一時間遅らせていただけませんか。。B：構いませんが、理由を教えてください。。A：実は、午前中にお客様の対応が入ってしまいまして。。B：分かりました。じゃあ午後三時からにしましょう。	えもおしわけありませんがあしたのかいぎおいちじかんおくらせてえただけませんかびいかまいませんがりゆうおしえてくださいえじつわごぜんちゅうにおきゃくさまのたいおがわいってしまいましてびいわかりましたじゃあごごさんじからにしましょお	A：もおしわけありませんがあしたのかいぎおいちじかんおくらせてえただけませんかB：かまいませんがりゆうおしえてくださいA：じつわごぜんちゅうにおきゃくさまのたいおがわいってしまいましてB：わかりましたじゃあごごさんじからにしましょお
5	A：先週の会議で決まった新システムの導入なんですが、現場からの反発が大きくて。。B：そうですよね。今までのやり方を急に変えるのは、抵抗があって当然です。。A：時間をかけて、メリットを丁寧に説明していくしかありませんね。。B：研修の機会も増やして、不安を取り除く努力が必要だと思います。	えせんしゅうのかいぎできまったしんしすてむのどおにゅうなんですがげんばからのわんぱつがおきくてびいそおですよねえままでのやりかたおきゅうにかえるのわてえこおがあってとおぜんですえじかんおかけてめりっとおてえねえにせつめえしてえくしかありませんねびいけんしゅうのきかいもふやしてふあんおとりのぞくどりょくがひつよおだとおもいます	A：せんしゅうのかいぎできまったしんしすてむのどおにゅうなんですがげんばからのわんぱつがおきくてB：そおですよねえままでのやりかたおきゅうにかえるのわてえこおがあってとおぜんですA：じかんおかけてめりっとおてえねえにせつめえしてえくしかありませんねB：けんしゅうのきかいもふやしてふあんおとりのぞくどりょくがひつよおだとおもいます
5	A：先日の提案書について、先方からフィードバックがありまして。全体的な方向性は評価されたんですが、収益モデルの部分でもう少し掘り下げた分析が欲しいと。。B：なるほど。競合他社との比較データを追加して、差別化ポイントを明確にしたほうがいいかもしれませんね。。A：そうですね。あと、リスク分析も入れておきましょう。来週水曜日の再提出に間に合いますか。。B：なんとかしますが、マーケティング部からのデータが必要です。至急手配してもらえますか。	えせんじつのてえあんしょについてせんぽおからふぃいどばっくがありましてぜんたいてきなほおこおせえわひょおかされたんですがしゅうえきもでるのぶぶんでもおすこしほりさげたぶんせきがほしいとびいなるほどきょおごおたしゃとのひかくでえたおついかしてさべつかぽいんとおめえかくにしたほおがいかもしれませんねえそおですねあとりすくぶんせきもいれておきましょおらいしゅうすいよおびのさいてえしゅつにまにあいますかびいなんとかしますがまあけてぃんぐぶからのでえたがひつよおですしきゅうてわいしてもらえますか	A：せんじつのてえあんしょについてせんぽおからふぃどばっくがありましてぜんたいてきなほおこおせえわひょおかされたんですがしゅうえきもでるのぶぶんでもおすこしほりさげたぶんせきがほしいとB：なるほどきょおごおたしゃとのひかくでたおついかしてさべつかぽいんとおめえかくにしたほおがいかもしれませんねA：そおですねあとりすくぶんせきもいれておきましょおらいしゅうすいよおびのさいてえしゅつにまにあいますかB：なんとかしますがまけてぃんぐぶからのでたがひつよおですしきゅうてわいしてもらえますか
