count	voicevox	kuromoji	example
1	なんばあいち	No.	その広告は「業界No.1の実績」を謳っているが、根拠は極めて
1	た	ことわ	その僧侶は厳しい戒律を守り、俗世との関わりを断っている。
1		／う	歌います→歌う／歌わない
1	えてぃいえむ	ATM	銀行のATMもあるので、いつでもお金をおろせます。
1	わつか	にじゅうにち	軽微な暴行罪で有罪判決を受けた被告人に、二十日間の拘留が科さ
1	といろ	じゅうしょく	幸せの形なんて十人十色で、他人と比べても意味がない。
1	えぬいち	N	三年間努力して、ようやく日本語能力試験のN1を取得しました。
1	ひゃく		先着100名様に限り、特典をプレゼントします。
1		惻しか	被災地の子どもたちの姿を目にして、彼女は惻然として言葉を失っ
1	ば	あぶ	焙煎したての豆を挽くと、香ばしいコーヒーの匂いが部屋中に広が
1	せん		焙煎したての豆を挽くと、香ばしいコーヒーの匂いが部屋中に広が
1	ひゃっ		100キロからある荷物を、彼は一人で運び切った。
1	さん		3年も住んでいれば、詳しいわけだ。
1	おのの	慄	あまりに凄惨な現場を目の当たりにし、彼は恐怖に慄いた。
1	もおし	さる	このセミナーの申込みは、明日までにしてください。
1	とんこつ	ぶたぼね	この店のラーメンは、スープが特別美味しいです。豚骨を十時間以
1	い	おこな	ジムに入会したものの、忙しくて一度しか行っていない。
1	たまたま	偶々	その日は偶々休みだったので、彼を手伝ってあげられました。
1	ひっすい	必衰	どんな大帝国もいつかは滅びる。盛者必衰とはよく言ったものだ。
1	みやこ	と	圧政に耐えかねた民衆を率い、彼はついに都で挙兵した。
1		ぶり	駅前の店で天ぷら丼を注文しました。
1	り	わなれ	汽笛を一つ鳴らして、大型客船はゆっくりと埠頭を離岸していった
1		／	起きます→起きる／起きない
1	とおか	じゅうにち	軽犯罪法違反で有罪となった男は、裁判所から十日間の拘留を命じ
1	たて		使者は貢ぎ物を朝廷に恭しく奉った。
1	しゅう	就	就活中の学生にとって、この情報は貴重だ。
1		――	世は事もなし――なべて平穏なうちに、また一年が過ぎていった。
1	いぼお	たけしもち	長年の実績に裏打ちされた威望が、彼の発言に重みを与えている。
1	き	ちゃく	店に着いたら、まず制服に着がえて、手をきれいに洗います。
1	あいだ	かん	電車が遅れたため、乗客はホームで長い間待たされました。
1	ひたい	がく	都心のマンションだけあって、庭と呼べるのは猫の額ほどのスペー
1	ちょく	みことのり	当時は議会の承認を経ずとも、勅令一つで法律に等しい効力を持た
1		いえ	日曜日はたいてい家にいる。
1	あたい	ね	入力した値に応じて結果が決まるこの仕組みは、一種の関数とみな
1	かたく	頑	彼女は世間の批判にも頑なに自らの信念を貫き通した。
1	と	うさぎ	理由はいろいろあるだろうが、兎に角、締め切りだけは守ってほし
1	さい	～ぎわ	～際に
1		A：	A：先日の企画書の件ですが、もう少しターゲット層を絞り込んだ
1	ぜん	まえ	A：履歴書を拝見しましたが、前職を辞めた理由を教えてください
1	ちお	や	あと一歩で優勝を逃してしまい、口惜しくて涙が止まらなかった。
1	ねっ	あつ	あのスープは熱そうです。
1	こおぼ	ぐほ	あの大家がこんな初歩的なミスを犯すとは、弘法にも筆の誤りと言
1	あだ	きゅう	あれだけ面倒を見てやったのに、彼は裏で私の悪口を言いふらすと
1	せえ	しょい	うまくいかないのを他人の所為にしているうちは、いつまでも成長
1		…	お願いしたいんですけど…
1	あ	ぁ	キャンプファイヤーの炎を見つめていると、心が落ち着きます。
1	ひと	えち	このスープは味が濃厚で、一口飲んだだけでお腹がいっぱいになり
1	ひとめ	えちもく	この魚は色がとても美しいのが特徴で、一目でほかの魚と区別でき
1	ひとり	にん	この仕事量を1人でやるのは大変に違いない。
1	いくさ	せん	この城は堅固な石垣に守られ、幾度の戦にも耐えてきた。
1	がん	わぎし	この地域に見られる河岸段丘は、長い年月をかけた河川の浸食作用
1	がら	え	この柄のシャツはとてもかわいいですね。
1	いえ	か	せっかく休みを取ったのに、朝から雨で一日中家に閉じこもってい
1	し	つよ	どちらの案も甲乙つけがたいが、強いて言えば前者のほうが現実的
1	ょお	ん	どれほど困窮しても、職人としての矜持だけは決して捨てなかった
1	かど	もん	どんなに苦しくても、笑う門には福来たると信じて明るく振る舞っ
1	き	らい	どんなに苦しくても、笑う門には福来たると信じて明るく振る舞っ
1	く		バスは9時に出発するので、遅れないでください。
1	えん	あたり	ピタゴラスの定理を用いれば、この三角形の辺の長さが求められる
1		とら	リスクを恐れて動かなければ大きな成果は望めない。虎穴に入らず
1	じ		リスクを恐れて動かなければ大きな成果は望めない。虎穴に入らず
1	ひととき	いちじ	一時の失敗で部下を切り捨てるようでは、指導者としての器量が疑
1	じょお	うえ	一人暮らしをする上で、自炊のスキルは欠かせない。
1	ぶ	ふん	一分の無駄もないこの茶室の設計は、簡素の美の極致と言ってよい
1	こんにち	きょお	一本の川によって、その民族は南北に分断されたまま今日に至って
1	ふ	くだ	雨が降ろうと降るまいと、いずれにせよ試合は予定どおり開催され
1	そむ	叛	恩義ある主君に叛くことなど、彼の信念からしてできるはずもなか
1	ず		何度も交渉を試みたが、双方の主張の隔たりは埋まらなかった。
1	ど	びや	環境破壊は、多くの野生動物の生存を脅かしている。
1	ろおらく	かご絡	甘い言葉で若い政治家を籠絡し、裏で意のままに操っていたらしい
1	つ	そそ	経済が疲弊しているにもかかわらず、その国は過剰なまでに軍備の
1	あい	隘	計画そのものは申し分ないが、人手不足という隘路をどう打開する
1	けつ	ち	血流が途絶えた指先は、放置すれば壊疽を起こしかねない。
1	い	きょ	喧騒を離れ、彼は緑に囲まれた閑静な住宅街に居を構えることにし
1	あら	そ	見た目の売上高に惑わされず、まずは粗利がどれだけ確保できてい
1	がん	め	骨董品の価値を見極めるには、長年の経験に裏打ちされた審美眼が
1	し	よん	再三再四注意したにもかかわらず、彼はいっこうに態度を改めよう
1	ひ	わじ	姉は毎日ピアノを弾きます。
1		わ	子どもの頃、夕焼けが消えてしまうまで、我を忘れて遊びに興じた
1	あぶら	やに	脂っこいものを食べすぎたせいか、なかなか消化されず、胃がもた
1	じ	とき	時が経てば、辛いことも忘れていくものだ。
1	もく	め	実力者と目されていた選手が初戦で敗れるとは、まったく意外な結
1	あじ	み	若い頃には分からなかった、この俳優の演技の渋味が今では味わえ
1	わら	嗤	周囲が彼の突飛な計画を嗤う中、彼だけは本気でそれを信じていた
1		か	週末は大抵家で読書をして過ごす。
1	ひい	のべえ	従業員の健康を守ることは、延いては会社全体の生産性の向上にも
1	かぶ	こおむ	暑いので、帽子を被って出かけます。
1	もっ	き	職人は一片の木塊から、生きているかのような仏像を彫り上げた。
1	い	たまり	職人は一片の木塊から、生きているかのような仏像を彫り上げた。
1	せん	あらい	食洗機の使い方がわかりません。
1	いつか	ごにち	審査には三日ないし五日ほどを要しますので、あらかじめご了承く
1	の		新宿で山手線から中央線に乗り換えれば、二十分ほどで着きます。
1	ほとけ	ふつ	真相を知れば深く傷つくだろうし、これは知らぬが仏のままにして
1	あい	AI	生成AIの急速な普及により、知識を得ることのハードルは、かつ
1	した	か	戦時下では、言論に対する統制が一段と厳しさを増した。
1	わや	と	祖父は「疾く行け」と、古めかしい言い回しで私をせかした。
1		とも	素潜りで海の底まで潜り、貝を採るのが彼の得意技だ。
1	も	く	素潜りで海の底まで潜り、貝を採るのが彼の得意技だ。
1	いん	隕	太古の昔に落下した巨大な隕石が、生態系に壊滅的な影響を及ぼし
1		る	体に悪いと知りつつも、夜更かしがやめられない。
1	き	っ	敵国の巧妙な謀略に嵌まり、同盟は内部から瓦解していった。
1		ま	敵国の巧妙な謀略に嵌まり、同盟は内部から瓦解していった。
1	つ	っ	登山者は足を踏み外し、数十メートルも斜面を滑落してしまった。
1	じゅん	めぐ	塔の内部には、頂上へと続く螺旋状の階段が延々と巡らされていた
1	びょ	やまい	二人が同じ日に同じ病を患ったのは、抗いがたい宿命だったとしか
1	ほお	胞	肺胞では酸素と二酸化炭素の交換が絶え間なく行われている。
1	く	きた	梅雨に入ると、来る日も来る日も雨続きで、なんとも言えない憂鬱
1	どき	じ	梅雨時特有の湿気のせいか、朝から体が気だるくて仕方がない。
1	びい	B	犯人がAだとすると、Bにはアリバイがある。
1	もて	ひょお	彼は喜怒哀楽を表に出さない人なので、何を考えているのか読み取
1	えぬぴい	NPO	彼は志を同じくする仲間と共に、新たなNPOを設立した。
1	かくしゅ	つとむもり	彼は職務上の秘密を恪守し、退職後も一切口外しなかった。
1	だ		彼は代々医者を輩出してきた名門の出だが、その肩書きに甘んじる
1		ゅつ	彼は代々医者を輩出してきた名門の出だが、その肩書きに甘んじる
1	くるま	しゃ	父は毎日車で会社へ行きます。
1	ほほ	び	舞台に現れた女優の妖艶な微笑みに、観客は思わず息をのんだ。
1		こ	部署ごとに認識がずれていたので、事前に各自の見解を擦り合わせ
1	えさ	諫	暴走しかけた社長を、古参の役員が身を挺して諫めた。
1	すべ	じゅつ	膨れ上がる負債を前に、経営陣は為す術もなくただ倒産を待つばか
1	そくどく	わや読	膨大な資料に目を通す必要があり、速読の技術が役に立った。
1	ぞお	そゆう	未曽有の暴風が、防風林の巨木を根こそぎなぎ倒していった。
1	いれてん	にゅうみせ	予約してからでないと、入店できません。
1	ぱ	わ	来月、家族と北海道に行く予定です。飛行機で札幌まで行って、そ
1	っか	んにち	来月、家族と北海道に行く予定です。飛行機で札幌まで行って、そ
1	くが		涼しくなるどころか、9月に入っても真夏日が続いている。
1	せんじゅう	れえいち	和食は二〇一三年にユネスコの無形文化遺産に登録されました。季
1	ざれ	たわ	「明日世界を征服する」などと、彼はいつも酔うと戯言ばかり並べ
1	すう	かず	A：先日購入した商品なんですが、初期不良があったようで、電源
1	いま		A：田中さん、会議の資料はもう準備できましたか。。B：すみま
1		んこ	A：田中さん、会議の資料はもう準備できましたか。。B：すみま
1	ぞ	そ	あの新しい書店は品揃えがいいそうだ。
1	っ	つ	あの政治家は、巧みな策略で対立候補を次々に窮地に追い込んだ。
1	す	あ	お腹が空いて、何か食べました。
1	い	ひ	こていひ
1	せ	し	この橋の施工は、地元の建設会社が請け負うことになった。
1	さ	ざ	この時計は職人が手作業で仕上げた、実に精巧な細工が施されてい
1	しゅ	たね	この種の訴訟では、過去の判例が判決を左右する決め手となること
1	もと	した	すべての国民は法の下に平等であると憲法に定められている。
1	つ	こ	つまらない意地の張り合いで、両者とも面子にこだわりすぎている
1	っぽ	くほ	ヒトの細胞には、通常四十六本の染色体が含まれている。
1	ん	と	わずか十七音で情景を切り取る俳句には、日本人の美意識が凝縮さ
1	かぎ	き	一度失われた信頼を取り戻すのは難しく、その関係の悪化はもはや
1		が	一度失われた信頼を取り戻すのは難しく、その関係の悪化はもはや
1	いま	こん	何百年も前に築かれた石垣が、地震にも崩れず今なお堅牢に残って
1	ど	と	外は日差しが強いので、出かける前に日焼け止めを塗っておこう。
1	と	え	獲れたばかりの魚をその場で加工することで、鮮度と風味を保って
1	つ	め	乾燥する季節は、皮膚が荒れやすいので保湿を欠かせない。
1	げ	むか	歓送迎会でスピーチさせられた。
1	みこ		汗まみれになりながら、祭りの神輿を担いだ。
1		んよ	汗まみれになりながら、祭りの神輿を担いだ。
1	な	做	期限までに返信がない場合は、同意したものと見做します。
1	どとお	いか濤	起業してからの数年間は、まさに疾風怒濤の日々だった。
1	ひとこ	いっせ	議論は平行線をたどっていたが、会長の鶴の一声で方針は一気に決
1	じょおさい	しろとりで	丘の上には、幾多の戦火をくぐり抜けてきた堅固な城砦がそびえて
1	あ	ちんた	宮崎の青島に行ったことがありますか。
1	しま		宮崎の青島に行ったことがありますか。
1	ぼ	ほ	強い風のせいで、公園の木の枝が何本も折れてしまった。
1		げ	月末までにお支払いいただけるよう、請求書を本日中に発送いたし
1	き		月末までにお支払いいただけるよう、請求書を本日中に発送いたし
1	げ	か	最近は原油の相場が乱高下しているので、投資には慎重にならざる
1	つがん	るめ	市場の潮目をいち早く読む達眼が、彼を成功へと導いた。
1	さい	ぎわ	資金繰りが行き詰まり、会社は倒産するかどうかの瀬戸際に立たさ
1	こお	ぐち	取材をやめろと、その男は電話口でしつこく記者を恫喝してきた。
1	ちか	こん	終電を逃したので、駅近のホテルに泊まらざるを得なかった。
1	ふたり		初めて会ったのに、話してみると二人には意外と共通点が多かった
1		にんに	初めて会ったのに、話してみると二人には意外と共通点が多かった
1	りょくふ	ちからぶ	少子高齢化に伴う労働力不足は、日本経済の構造的な課題である。
1	わ	ば	色々検討したが、矢張り最初の案が一番よかったようだ。
1	う	ぶ	新人の意欲が高いうちに、鉄は熱いうちに打てで、どんどん実務を
1	っぴ	つひ	人気商品が欠品してしまい、入荷まで一週間ほどお待ちいただくこ
1	っぺ	ちえ	数ある短編の中でも、この一編が本作品集の白眉と言えるだろう。
1	とお	あかり	世界中を探し回った答えが、実は身近な資料に載っていたとは、ま
1	もと	か	世界中を探し回った答えが、実は身近な資料に載っていたとは、ま
1	みち	どお	雪道で足を滑らせて転んでしまい、恥ずかしい思いをした。
1	も	ぶ	専門家の手によって、傷んだ古文書が見事に復元された。
1	ざ	さ	祖父の生き様に感化され、私は医の道を志すに至った。
1	かな	てき	村の長老の一言には、若者たちが束になっても敵わないほどの重み
1	ぶ	む	多少の経費の使い込みには目を瞑るとしても、書類の改ざんだけは
1	べ	び	大腸では、残った内容物から水分が吸収され、便が形づくられる。
1	ぐわ	んば	庭一面に咲いた金木犀が、芳しい香りをあたりに漂わせている。
1	ほ	ひ	天気がいいから、布団を外に干そう。
1	なま	にぶ	彼は若い頃の事故で隻眼となったが、それでも職人としての腕は少
1	たん	わじ	物価の高騰に端を発した市民の不満は、ついに各地で暴動へと発展
1	ぬか	がく	民衆は神殿の前に額ずき、静かに祈りを捧げていた。
1	いた	ろお	無理をしがちな彼女に、たまには体を労わるよう忠告した。
1	ね	ち	問屋との仕切り値を一円でも下げようと、担当者は粘り強く交渉を
1	あい	そお	両者の利害が真っ向から相反するため、交渉は難航を極めた。
